seed,id,task,valid,score,repair_distance,error_type,error_position,length,max_depth,max_pairing_distance,block_index,on_boundary
1234,0,dyck,False,0.0,10,unclosed,6,32,8,25,,
1234,1,dyck,False,0.0,13,mismatched,75,32,8,27,,
1234,2,dyck,False,0.0,6,unexpected_closing,54,32,5,25,,
1234,3,dyck,False,0.0,12,unclosed,0,32,6,31,,
1234,4,dyck,False,0.0,6,unclosed,0,32,8,31,,
1234,5,dyck,False,0.0,4,unexpected_closing,41,32,6,21,,
1234,6,dyck,False,0.0,17,unexpected_closing,39,32,5,11,,
1234,7,dyck,False,0.0,2,unclosed,6,32,7,25,,
1234,8,dyck,False,0.0,8,unclosed,0,32,7,31,,
1234,9,dyck,False,0.0,6,unclosed,4,32,8,27,,
1234,10,dyck,True,1.0,0,,,32,8,29,,
1234,11,dyck,False,0.0,14,unclosed,0,32,5,25,,
1234,12,dyck,False,0.0,17,unclosed,6,32,7,25,,
1234,13,dyck,False,0.0,7,unclosed,0,32,7,17,,
1234,14,dyck,False,0.0,18,unexpected_closing,22,32,5,19,,
1234,15,dyck,False,0.0,10,unclosed,0,32,8,31,,
1234,16,dyck,False,0.0,4,unclosed,6,32,7,25,,
1234,17,dyck,False,0.0,54,unclosed,2,32,8,29,,
1234,18,dyck,False,0.0,7,unexpected_closing,32,32,7,31,,
1234,19,dyck,False,0.0,8,unclosed,4,32,8,27,,
1234,20,dyck,False,0.0,10,unexpected_closing,35,32,6,27,,
1234,21,dyck,False,0.0,9,unexpected_closing,52,32,8,31,,
1234,22,dyck,False,0.0,17,unexpected_closing,45,32,8,21,,
1234,23,dyck,False,0.0,4,unclosed,10,32,6,21,,
1234,24,dyck,False,0.0,4,unclosed,6,32,8,25,,
1234,25,dyck,False,0.0,4,unexpected_closing,80,32,8,31,,
1234,26,dyck,False,0.0,5,unclosed,6,32,8,25,,
1234,27,dyck,False,0.0,6,unexpected_closing,26,32,6,15,,
1234,28,dyck,True,1.0,0,,,32,6,15,,
1234,29,dyck,False,0.0,5,unclosed,10,32,7,21,,
1234,30,dyck,False,0.0,8,unclosed,0,32,5,13,,
1234,31,dyck,False,0.0,10,unexpected_closing,65,32,8,23,,
1234,32,dyck,False,0.0,21,unclosed,2,32,8,29,,
1234,33,dyck,False,0.0,4,unclosed,4,32,8,27,,
1234,34,dyck,False,0.0,11,unclosed,0,32,8,31,,
1234,35,dyck,False,0.0,20,unclosed,8,32,7,23,,
1234,36,dyck,False,0.0,15,unexpected_closing,42,32,8,29,,
1234,37,dyck,False,0.0,3,unexpected_closing,82,32,5,19,,
1234,38,dyck,False,0.0,17,unexpected_closing,23,32,8,31,,
1234,39,dyck,False,0.0,2,unclosed,0,32,7,25,,
1234,40,dyck,False,0.0,1,unclosed,96,32,8,31,,
1234,41,dyck,False,0.0,2,unclosed,0,32,8,31,,
1234,42,dyck,False,0.0,3,unclosed,0,32,8,31,,
1234,43,dyck,False,0.0,18,unexpected_closing,17,32,5,15,,
1234,44,dyck,False,0.0,7,unexpected_closing,33,32,8,31,,
1234,45,dyck,False,0.0,2,unexpected_closing,90,32,7,31,,
1234,46,dyck,False,0.0,11,unclosed,10,32,8,21,,
1234,47,dyck,False,0.0,9,unexpected_closing,80,32,4,13,,
1234,48,dyck,False,0.0,7,unexpected_closing,58,32,8,31,,
1234,49,dyck,False,0.0,20,unclosed,2,32,8,29,,
1234,50,dyck,False,0.0,3,unclosed,0,32,8,31,,
1234,51,dyck,False,0.0,2,unclosed,0,32,6,31,,
1234,52,dyck,True,1.0,0,,,32,8,31,,
1234,53,dyck,False,0.0,5,unclosed,4,32,8,27,,
1234,54,dyck,False,0.0,18,unexpected_closing,34,32,8,31,,
1234,55,dyck,False,0.0,2,unexpected_closing,97,32,7,15,,
1234,56,dyck,False,0.0,8,unclosed,8,32,5,23,,
1234,57,dyck,False,0.0,1,unexpected_closing,146,32,8,31,,
1234,58,dyck,False,0.0,6,unclosed,4,32,8,27,,
1234,59,dyck,False,0.0,16,unclosed,0,32,8,31,,
1234,60,dyck,False,0.0,6,unclosed,0,32,8,31,,
1234,61,dyck,False,0.0,6,unclosed,14,32,7,17,,
1234,62,dyck,False,0.0,1,unclosed,66,32,8,25,,
1234,63,dyck,False,0.0,2,unclosed,99,32,8,29,,
2025,0,dyck,False,0.0,14,unexpected_closing,39,32,6,27,,
2025,1,dyck,False,0.0,7,unclosed,14,32,7,17,,
2025,2,dyck,False,0.0,20,unclosed,0,32,8,31,,
2025,3,dyck,False,0.0,12,unclosed,0,32,4,31,,
2025,4,dyck,False,0.0,27,unclosed,0,32,6,31,,
2025,5,dyck,False,0.0,3,unexpected_closing,45,32,7,31,,
2025,6,dyck,False,0.0,4,unclosed,0,32,8,31,,
2025,7,dyck,False,0.0,32,unclosed,12,32,8,19,,
2025,8,dyck,False,0.0,10,unclosed,0,32,7,31,,
2025,9,dyck,False,0.0,9,unclosed,0,32,8,31,,
2025,10,dyck,False,0.0,8,unclosed,4,32,7,27,,
2025,11,dyck,False,0.0,16,unclosed,4,32,8,27,,
2025,12,dyck,False,0.0,31,unclosed,2,32,8,29,,
2025,13,dyck,False,0.0,16,unclosed,2,32,8,29,,
2025,14,dyck,False,0.0,11,unclosed,0,32,8,31,,
2025,15,dyck,False,0.0,2,unclosed,80,32,8,27,,
2025,16,dyck,False,0.0,11,unclosed,2,32,8,29,,
2025,17,dyck,False,0.0,1,unclosed,111,32,3,11,,
2025,18,dyck,False,0.0,6,unclosed,0,32,7,31,,
2025,19,dyck,False,0.0,19,unclosed,2,32,8,29,,
2025,20,dyck,False,0.0,13,unclosed,12,32,4,9,,
2025,21,dyck,False,0.0,12,unclosed,2,32,5,27,,
2025,22,dyck,False,0.0,3,unexpected_closing,91,32,3,19,,
2025,23,dyck,False,0.0,5,unclosed,4,32,8,27,,
2025,24,dyck,False,0.0,14,unexpected_closing,40,32,8,29,,
2025,25,dyck,False,0.0,31,unclosed,2,32,8,29,,
2025,26,dyck,False,0.0,20,unclosed,0,32,8,31,,
2025,27,dyck,False,0.0,9,unexpected_closing,60,32,8,27,,
2025,28,dyck,False,0.0,21,unclosed,2,32,8,29,,
2025,29,dyck,False,0.0,20,unclosed,2,32,8,29,,
2025,30,dyck,False,0.0,20,unclosed,0,32,8,31,,
2025,31,dyck,False,0.0,17,unexpected_closing,11,32,8,31,,
2025,32,dyck,False,0.0,2,unexpected_closing,83,32,8,31,,
2025,33,dyck,False,0.0,16,unexpected_closing,51,32,8,29,,
2025,34,dyck,False,0.0,16,unclosed,0,32,8,31,,
2025,35,dyck,False,0.0,5,unexpected_closing,54,32,8,31,,
2025,36,dyck,False,0.0,5,unclosed,0,32,8,31,,
2025,37,dyck,False,0.0,11,unexpected_closing,60,32,8,31,,
2025,38,dyck,False,0.0,54,unclosed,0,32,8,31,,
2025,39,dyck,False,0.0,6,unexpected_closing,45,32,7,23,,
2025,40,dyck,False,0.0,19,unclosed,0,32,8,31,,
2025,41,dyck,False,0.0,8,unexpected_closing,108,32,7,31,,
2025,42,dyck,False,0.0,2,unexpected_closing,96,32,6,27,,
2025,43,dyck,False,0.0,5,unclosed,2,32,8,29,,
2025,44,dyck,False,0.0,10,unexpected_closing,42,32,8,19,,
2025,45,dyck,False,0.0,4,unclosed,18,32,5,13,,
2025,46,dyck,False,0.0,11,unexpected_closing,55,32,7,23,,
2025,47,dyck,False,0.0,2,unexpected_closing,83,32,7,31,,
2025,48,dyck,False,0.0,3,unclosed,2,32,7,15,,
2025,49,dyck,True,1.0,0,,,32,8,31,,
2025,50,dyck,False,0.0,10,unexpected_closing,110,32,8,31,,
2025,51,dyck,False,0.0,7,unexpected_closing,48,32,5,17,,
2025,52,dyck,False,0.0,20,unclosed,6,32,8,25,,
2025,53,dyck,False,0.0,12,unclosed,0,32,8,31,,
2025,54,dyck,False,0.0,2,unclosed,0,32,8,25,,
2025,55,dyck,False,0.0,28,unclosed,6,32,6,25,,
2025,56,dyck,False,0.0,1,unclosed,0,32,7,31,,
2025,57,dyck,False,0.0,2,unclosed,110,32,3,7,,
2025,58,dyck,False,0.0,12,unexpected_closing,65,32,8,29,,
2025,59,dyck,False,0.0,2,unclosed,0,32,8,31,,
2025,60,dyck,False,0.0,3,mismatched,39,32,6,31,,
2025,61,dyck,False,0.0,2,unexpected_closing,134,32,8,31,,
2025,62,dyck,False,0.0,10,mismatched,38,32,5,31,,
2025,63,dyck,False,0.0,8,unexpected_closing,68,32,8,31,,
