seed,id,task,valid,score,repair_distance,error_type,error_position,length,max_depth,max_pairing_distance,vae_nll_per_token,vae_ppl,block_index,on_boundary
1234,0,dyck,False,0.0,59,mismatched,130,,,,,,,
1234,1,dyck,False,0.0,24,mismatched,178,,,,,,,
1234,2,dyck,False,0.0,41,mismatched,214,,,,,,,
1234,3,dyck,False,0.0,26,mismatched,162,,,,,,,
1234,4,dyck,False,0.0,28,mismatched,166,,,,,,,
1234,5,dyck,False,0.0,26,mismatched,150,,,,,,,
1234,6,dyck,False,0.0,43,mismatched,126,,,,,,,
1234,7,dyck,False,0.0,36,mismatched,240,,,,,,,
1234,8,dyck,False,0.0,16,mismatched,126,,,,,,,
1234,9,dyck,False,0.0,18,mismatched,140,,,,,,,
1234,10,dyck,False,0.0,6,unclosed,40,,,,,,,
1234,11,dyck,False,0.0,23,mismatched,124,,,,,,,
1234,12,dyck,False,0.0,24,mismatched,178,,,,,,,
1234,13,dyck,False,0.0,32,mismatched,156,,,,,,,
1234,14,dyck,False,0.0,30,mismatched,182,,,,,,,
1234,15,dyck,False,0.0,40,mismatched,186,,,,,,,
1234,16,dyck,False,0.0,16,mismatched,170,,,,,,,
1234,17,dyck,False,0.0,16,mismatched,150,,,,,,,
1234,18,dyck,False,0.0,8,mismatched,114,,,,,,,
1234,19,dyck,False,0.0,16,mismatched,130,,,,,,,
1234,20,dyck,False,0.0,22,mismatched,142,,,,,,,
1234,21,dyck,False,0.0,50,mismatched,190,,,,,,,
1234,22,dyck,False,0.0,46,mismatched,200,,,,,,,
1234,23,dyck,False,0.0,20,mismatched,178,,,,,,,
1234,24,dyck,False,0.0,60,unexpected_closing,156,,,,,,,
1234,25,dyck,False,0.0,28,mismatched,170,,,,,,,
1234,26,dyck,False,0.0,52,mismatched,216,,,,,,,
1234,27,dyck,False,0.0,33,unexpected_closing,148,,,,,,,
1234,28,dyck,False,0.0,20,mismatched,158,,,,,,,
1234,29,dyck,False,0.0,20,mismatched,182,,,,,,,
1234,30,dyck,False,0.0,21,mismatched,130,,,,,,,
1234,31,dyck,False,0.0,24,mismatched,100,,,,,,,
1234,32,dyck,False,0.0,24,mismatched,178,,,,,,,
1234,33,dyck,False,0.0,34,mismatched,166,,,,,,,
1234,34,dyck,False,0.0,18,mismatched,182,,,,,,,
1234,35,dyck,False,0.0,81,unclosed,0,,,,,,,
1234,36,dyck,False,0.0,44,mismatched,230,,,,,,,
1234,37,dyck,False,0.0,26,mismatched,98,,,,,,,
1234,38,dyck,False,0.0,28,unexpected_closing,112,,,,,,,
1234,39,dyck,False,0.0,24,mismatched,96,,,,,,,
1234,40,dyck,False,0.0,26,mismatched,106,,,,,,,
1234,41,dyck,False,0.0,34,mismatched,121,,,,,,,
1234,42,dyck,False,0.0,20,mismatched,142,,,,,,,
1234,43,dyck,False,0.0,66,mismatched,168,,,,,,,
1234,44,dyck,False,0.0,26,mismatched,182,,,,,,,
1234,45,dyck,False,0.0,26,mismatched,172,,,,,,,
1234,46,dyck,False,0.0,33,mismatched,126,,,,,,,
1234,47,dyck,False,0.0,20,unexpected_closing,144,,,,,,,
1234,48,dyck,False,0.0,48,mismatched,106,,,,,,,
1234,49,dyck,False,0.0,38,mismatched,134,,,,,,,
1234,50,dyck,False,0.0,52,mismatched,156,,,,,,,
1234,51,dyck,False,0.0,34,mismatched,178,,,,,,,
1234,52,dyck,False,0.0,20,mismatched,126,,,,,,,
1234,53,dyck,False,0.0,28,mismatched,180,,,,,,,
1234,54,dyck,False,0.0,12,mismatched,164,,,,,,,
1234,55,dyck,False,0.0,24,mismatched,182,,,,,,,
1234,56,dyck,False,0.0,29,mismatched,224,,,,,,,
1234,57,dyck,False,0.0,40,mismatched,158,,,,,,,
1234,58,dyck,False,0.0,8,mismatched,148,,,,,,,
1234,59,dyck,False,0.0,21,mismatched,180,,,,,,,
1234,60,dyck,False,0.0,26,mismatched,158,,,,,,,
1234,61,dyck,False,0.0,30,mismatched,182,,,,,,,
1234,62,dyck,False,0.0,39,mismatched,200,,,,,,,
1234,63,dyck,False,0.0,43,mismatched,160,,,,,,,
1234,64,dyck,False,0.0,28,mismatched,152,,,,,,,
